NISCode;houses_sum_ParcelsNumber;houses_avg_PriceP25;houses_avg_PriceP50;houses_avg_PriceP75;houses_avg_ParcelsAreaP50;houses_average_price_m2;houses_avg_PriceP50_filled;houses_avg_PriceP50_status;houses_avg_PriceP50_distance_m;houses_average_price_m2_filled;houses_average_price_m2_status;houses_average_price_m2_distance_m
11023B330;49;295000;355000;515000;367;967.302452316076;355000;observed;;967.302452316076;observed;
11024A01-;74;330000;383500;471000;218.5;1755.14874141876;383500;observed;;1755.14874141876;observed;
11024A02-;41;269000;330000;462500;278;1187.05035971223;330000;observed;;1187.05035971223;observed;
11024A03-;19;305000;510000;562000;340;1500;510000;observed;;1500;observed;
11024A04-;53;326250;344500;428500;250;1378;344500;observed;;1378;observed;
11024A10-;22;275000;349000;375000;464;752.155172413793;349000;observed;;752.155172413793;observed;
11024A111;6;235000;310250;345250;299;1037.6254180602;310250;observed;;1037.6254180602;observed;
11024A1PA;9;605000;1070000;1417125;2065;518.1598062954;1070000;observed;;518.1598062954;observed;
12021A353;15;262500;310000;335000;181.25;1710.34482758621;310000;observed;;1710.34482758621;observed;
11024A132;16;350000;450000;635000;560.5;802.8545941124;450000;observed;;802.8545941124;observed;
11024A200;69;330000;395000;535000;483.75;816.537467700258;395000;observed;;816.537467700258;observed;
11024A210;28;342500;447500;543000;533;839.587242026266;447500;observed;;839.587242026266;observed;
11040A222;11;310000;337500;365000;299;1128.76254180602;337500;observed;;1128.76254180602;observed;
11024A191;9;510050.26;630000;1300000;865;728.323699421965;630000;observed;;728.323699421965;observed;
11024A220;45;350000;405000;515000;267;1516.85393258427;405000;observed;;1516.85393258427;observed;
11024A280;5;732750;826500;920000;900;918.333333333333;826500;observed;;918.333333333333;observed;
11024A291;7;580000;800000;875000;789;1013.94169835234;800000;observed;;1013.94169835234;observed;
11024A30-;7;285000;325000;530000;489;664.621676891615;325000;observed;;664.621676891615;observed;
11024A412;27;545000;599000;715000;768.75;779.186991869919;599000;observed;;779.186991869919;observed;
11024A423;20;365000;400000;465000;386.5;1034.92884864166;400000;observed;;1034.92884864166;observed;
11024B00-;24;205000;412500;440000;290;1422.41379310345;412500;observed;;1422.41379310345;observed;
23062A922;5;810000;850000;899000;2002;424.575424575425;850000;observed;;424.575424575425;observed;
11024B012;6;439000;488000;639000;572.5;852.401746724891;488000;observed;;852.401746724891;observed;
11025A000;55;285000;367000;499000;243.75;1505.64102564103;367000;observed;;1505.64102564103;observed;
