bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Bovengronds nuttige oppervlakte;193370.5
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Bovengronds grond oppervlakte;74415.88
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Aantal projecten;1.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Aantal gebouwen;1.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Bovengronds nuttige oppervlakte;155.02
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;wonen;Bovengronds grond oppervlakte;96.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Aantal projecten;3.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Aantal gebouwen;1.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Bovengronds nuttige oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;Totalen;;Bovengronds grond oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Aantal projecten;2.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Aantal gebouwen;0.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;-;-;Aantal projecten;2.0
vergunningen_omgevingsloket_2026;2019;;-;-;Aantal gebouwen;0.0
