naam;jaar;zone;aantal
aantal_ernstig_gehinderden_vlaanderen;2031;E;35572.451457767645
aantal_ernstig_gehinderden_vlaanderen;2031;F;24189.81638469195
aantal_ernstig_gehinderden_vlaanderen;2031;Totaal;85136.38886098038
aantal_ernstig_gehinderden_zonder_isolatie;2026;A;38.14805440000001
aantal_ernstig_gehinderden_zonder_isolatie;2026;B;984.0341784000001
aantal_ernstig_gehinderden_zonder_isolatie;2026;C;7949.359059278096
aantal_ernstig_gehinderden_zonder_isolatie;2026;D;17711.859426538747
aantal_ernstig_gehinderden_zonder_isolatie;2026;E;66440.3866827449
aantal_ernstig_gehinderden_zonder_isolatie;2026;F;76586.76741144562
aantal_ernstig_gehinderden_zonder_isolatie;2026;Totaal;169710.55481280736
aantal_ernstig_gehinderden_zonder_isolatie;2027;A;38.698073143709344
aantal_ernstig_gehinderden_zonder_isolatie;2027;B;998.2227685011824
aantal_ernstig_gehinderden_zonder_isolatie;2027;C;8063.9757736685115
aantal_ernstig_gehinderden_zonder_isolatie;2027;D;17967.230467815363
aantal_ernstig_gehinderden_zonder_isolatie;2027;E;67398.3273986561
aantal_ernstig_gehinderden_zonder_isolatie;2027;F;77690.9975973889
aantal_ernstig_gehinderden_zonder_isolatie;2027;Totaal;172157.45207917376
aantal_ernstig_gehinderden_zonder_isolatie;2028;A;39.25100602134866
aantal_ernstig_gehinderden_zonder_isolatie;2028;B;1012.4872920940197
aantal_ernstig_gehinderden_zonder_isolatie;2028;C;8179.2025041771585
aantal_ernstig_gehinderden_zonder_isolatie;2028;D;18223.955892022183
aantal_ernstig_gehinderden_zonder_isolatie;2028;E;68361.34647996936
aantal_ernstig_gehinderden_zonder_isolatie;2028;F;78801.08018634224
aantal_ernstig_gehinderden_zonder_isolatie;2028;Totaal;174617.3233606263
aantal_ernstig_gehinderden_zonder_isolatie;2029;A;39.80692185471401
aantal_ernstig_gehinderden_zonder_isolatie;2029;B;1026.8295051445211
aantal_ernstig_gehinderden_zonder_isolatie;2029;C;8295.053522099512
aantal_ernstig_gehinderden_zonder_isolatie;2029;D;18482.067617900797
aantal_ernstig_gehinderden_zonder_isolatie;2029;E;69329.56371454292
aantal_ernstig_gehinderden_zonder_isolatie;2029;F;79917.15329740148
aantal_ernstig_gehinderden_zonder_isolatie;2029;Totaal;177090.47457894395
aantal_ernstig_gehinderden_zonder_isolatie;2030;A;40.365889544961654
aantal_ernstig_gehinderden_zonder_isolatie;2030;B;1041.2511661929086
aantal_ernstig_gehinderden_zonder_isolatie;2030;C;8411.543117177513
aantal_ernstig_gehinderden_zonder_isolatie;2030;D;18741.59760198705
aantal_ernstig_gehinderden_zonder_isolatie;2030;E;70303.09903050914
aantal_ernstig_gehinderden_zonder_isolatie;2030;F;81039.3552103221
aantal_ernstig_gehinderden_zonder_isolatie;2030;Totaal;179577.21201573368
aantal_ernstig_gehinderden_zonder_isolatie;2031;A;40.92797808274404
