bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Aantal projecten;108.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Aantal projecten;19.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Aantal gebouwen;33.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Aantal projecten;19.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Aantal gebouwen;33.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Aantal projecten;4.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Aantal projecten;4.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Aantal projecten;4.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Aantal projecten;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;Totalen;Bovengronds grond oppervlakte;
