bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kortenberg;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Leuven;-;-;Aantal wooneenheden;0.0
