id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
607;1965,876622;0;0;0;0
608;121146,2307;0;0;0;0
609;156393,2777;0;0;0;0
610;29671,62869;0;0;0;0
611;98641,50586;0;0;0;0
612;26103,89008;0;0;0;0
613;121106,1945;0;0;0;0
614;2795,670151;0;0;0;0
615;98448,70271;0;0;0;0
616;99503,73607;0;0;0;0
617;86198,63467;0;0;0;0
618;22470,71284;0;0;0;0
619;91538,24378;0;0;0;0
620;117145,9104;0;0;0;0
621;5644,475183;0;0;0;0
622;38299,98226;0;0;0;0
623;41351,92344;0;0;0;0
624;67425,72391;0;0;0;0
625;104575,4622;0;0;0;0
626;122055,087;0;0;0;0
627;16966,51799;0;0;0;0
628;1338,046895;0;0;0;0
629;30521,9133;0;0;0;0
630;53394,51078;0;0;0;0
631;98524,91272;0;0;0;0
632;39222,22321;0;0;0;0
633;39325,98506;0;0;0;0
634;6750,061068;0;0;0;0
635;111921,0324;0;0;0;0
636;215211,4814;0;0;0;0
637;299538,5293;0;0;0;0
638;156806,8778;0;0;0;0
639;35986,66592;0;0;0;0
640;208349,6614;0;0;0;0
641;112499,962;0;0;0;0
642;64724,54816;0;0;0;0
643;54185,96386;0;0;0;0
644;103575,9444;0;0;0;0
645;17671,68438;0;0;0;0
646;175562,6363;0;0;0;0
647;19448,1867;0;0;0;0
648;15235,21436;0;0;0;0
649;22730,43297;0;0;0;0
650;115326,1453;0;0;0;0
651;145395,5957;0;0;0;0
652;23613,38902;0;0;0;0
653;18779,11371;0;0;0;0
654;7577,303234;0;0;0;0
655;177563,5468;0;0;0;0
656;826,2788407;0;0;0;0
657;187816,2017;0;0;0;0
658;57531,34966;0;0;0;0
659;12285,79339;0;0;0;0
660;113989,3369;0;0;0;0
661;75864,48372;0;0;0;0
662;51171,76699;0;0;0;0
663;85852,37413;0;0;0;0
